,price_cr,bhk,bathroom,balcony,addl_room,floor_rise,area_sqm,area_type,age,fan,light,wardrobe,ac,bed,chimney,curtains,dining table,exhaust fan,geyser,modular kitchen,microwave,fridge,sofa,stove,tv,washing machine,water purifier,society,sector,city,landmarks
1791,0.64,2,2,3,1,mid,120.77,super built up,old,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,shree vardhman flora,90,gurgaon,"['iris broadway mall', ' dwarka expressway', ' saraswati model school', ' sgt university', ' aarvy healthcare hospital', ' aarvy healthcare hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' garhi harsaru junction', ' orchid business park', ' holiday inn gurugram sector 90', ' flying wings badminton academy']"
1792,1.65,3,3,2,0,high,174.38,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,bptp terra,37,gurgaon,"['airia mall', ' dwarka expressway', ' golf course extension road', ' euro international school', ' euro international school', ' dpg institute of technology', ' amma hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' holiday inn sector 90', ' skyjumper trampoline park']"
1793,1.17,2,2,2,0,high,130.99,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,bptp terra,37,gurgaon,"['airia mall', ' dwarka expressway', ' golf course extension road', ' euro international school', ' euro international school', ' dpg institute of technology', ' amma hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' holiday inn sector 90', ' skyjumper trampoline park']"
1794,1.45,3,3,3,0,high,168.25,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,bptp terra,37,gurgaon,"['airia mall', ' dwarka expressway', ' golf course extension road', ' euro international school', ' euro international school', ' dpg institute of technology', ' amma hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' holiday inn sector 90', ' skyjumper trampoline park']"
1795,1.95,3,3,3,1,mid,172.06,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,shapoorji pallonji joyville gurugram,102,gurgaon,"[' the esplanade mall', ' dwarka expressway', ' delhi public school', ' sgt university', ' aryan hospital', ' indira gandhi int. airport', ' the executive centre', ' inde hotels & resorts', ' inde hotels & resorts', ' dlf golf and country club', ' dlf golf and country club']"
1796,4.2,4,4,3,1,high,390.19,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,bestech park view grand spa,81,gurgaon,"['sapphire 83 mall', ' imt manesar', ' dwarka expressway', ' s high school""']"
1797,1.55,3,4,3,1,high,185.34,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,bestech park view sanskruti,92,gurgaon,"['sapphire 93 mall', ' dwarka expressway', ' imt manesar', ' western peripheral expressway', ' rps international school sector 89', ' rps international school sector 89', ' dpg institute of technology', ' aarvy healthcare hospital', ' aarvy healthcare hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' holiday inn sector 90', ' de adventure park', ' national tennis academy sector 98', ' national tennis academy sector 98']"
1798,1.58,3,4,3,1,high,223.71,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,ss the leaf,85,gurgaon,"['sapphire 83 mall', ' dwarka expressway', ' delhi public school sector 84', ' dpg institute of technology', ' genesis hospital sector 84', ' indira gandhi international airport', ' indira gandhi international airport', ' imt manesar', ' holiday inn hotel sector 90', ' holiday inn hotel sector 90', ' skyjumper trampoline park', ' nakhrola stadium sector 81a']"
1799,2.32,3,4,3,1,high,179.77,super built up,old,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,bestech park view spa next,67,gurgaon,"['omaxe city centre mall', 'omaxe city centre mall', ' golf course extension road', ' s school""']"
1800,1.25,3,4,3,1,high,137.5,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,microtek greenburg,86,gurgaon,"['ss omnia mall', ' national highway 8', ' national highway 8', ' dwarka expressway', ' sidheshwar school', ' dronacharya college of engineering', ' arc multi specialty hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' imt manesar', ' heritage village resort & spa', ' heritage village resort & spa', ' national tennis academy', ' national tennis academy']"
1801,2.2,2,2,1,1,mid,151.62,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,ireo the grand arch,58,gurgaon,"['sector 55-56 rapid metro', ' paras trinity mall', ' shalom presidency school', ' sushant university', ' w pratiksha hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' international tech park gurgaon', ' international tech park gurgaon', ' grand hyatt gurgaon', ' grand hyatt gurgaon', ' jinga lala theme park gurgaon delhi', ' teri golf course', ' tau devilal sports complex', ' tau devilal sports complex']"
1802,1.4,4,6,3,1,high,218.79,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,paras dews,106,gurgaon,"['mg road metro station', 'mg road metro station', ' neosquare shopping mall', ' dwarka expressway', ' glorious world school', ' dpg institute of technology', ' chirag hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' country inn & suites by radisson', ' skyjumper trampoline park', ' hamoni golf camp']"
1803,1.2,3,3,3,1,high,154.68,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,paras dews,106,gurgaon,"['mg road metro station', 'mg road metro station', ' neosquare shopping mall', ' dwarka expressway', ' glorious world school', ' dpg institute of technology', ' chirag hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' country inn & suites by radisson', ' skyjumper trampoline park', ' hamoni golf camp']"
1804,0.92,2,2,2,1,low,125.42,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,vatika xpressions,88,gurgaon,"['dwarka expressway', ' adarsh public school', ' excellere world school', ' aman hospital & surgical centre', ' aman hospital & surgical centre', ' garhi harsaru junction']"
1805,1.25,3,4,3,1,high,176.52,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,paras dews,106,gurgaon,"['mg road metro station', 'mg road metro station', ' neosquare shopping mall', ' dwarka expressway', ' glorious world school', ' dpg institute of technology', ' chirag hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' country inn & suites by radisson', ' skyjumper trampoline park', ' hamoni golf camp']"
1806,1.25,3,4,3,1,mid,163.51,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,paras dews,106,gurgaon,"['mg road metro station', 'mg road metro station', ' neosquare shopping mall', ' dwarka expressway', ' glorious world school', ' dpg institute of technology', ' chirag hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' country inn & suites by radisson', ' skyjumper trampoline park', ' hamoni golf camp']"
1807,1.85,3,3,1,1,mid,162.48,super built up,old,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,vatika city,49,gurgaon,"['bob atm', ' pnb atm', ' hdfc bank atm', ' hdfc bank atm', ' yes bank atm', ' yes bank atm', ' citibank atm', ' citibank atm', ' gurugram hospital', ' ektaa hospital', ' park hospital', ' park hospital', ' polaris hospital', ' govind hospital']"
1808,1.69,3,3,3,1,low,182.09,carpet,old,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,vatika city,49,gurgaon,"['bob atm', ' pnb atm', ' hdfc bank atm', ' hdfc bank atm', ' yes bank atm', ' yes bank atm', ' citibank atm', ' citibank atm', ' gurugram hospital', ' ektaa hospital', ' park hospital', ' park hospital', ' polaris hospital', ' govind hospital']"
1809,3.5,3,3,2,1,mid,204.48,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,emaar mgf the palm drive,66,gurgaon,"['sector 55-56 rapid metro station', 'sector 55-56 rapid metro station', ' ashoka international school', ' ashoka international school', ' gurugram university', ' park hospital', ' park hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' vatika business centre', ' de adventure park', ' dlf golf and country club', ' dlf golf and country club', ' tau devilal sports complex', ' tau devilal sports complex']"
1810,1.51,2,2,2,1,mid,111.48,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,emaar mgf the palm drive,66,gurgaon,"['sector 55-56 rapid metro station', 'sector 55-56 rapid metro station', ' ashoka international school', ' ashoka international school', ' gurugram university', ' park hospital', ' park hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' vatika business centre', ' de adventure park', ' dlf golf and country club', ' dlf golf and country club', ' tau devilal sports complex', ' tau devilal sports complex']"
1811,1.86,3,3,3,1,mid,225.75,super built up,old,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,parsvnath green ville,48,gurgaon,"[' icici bank atm', ' icici bank atm', ' standard chartered atm', ' divine look clinic centre', ' divine look clinic centre', ' skin clinic', ' wellness eye centre', ' wellness eye centre', ' best urologist atcomplete family clinic', ' ekta hospital', ' sai heart and trauma center', ' sai heart and trauma center', ' sai dharamraj hospital', ' sanjeevani hospital gurgaon', ' vishesh dental', ' vishesh dental', ' sona devi memorial hospital and trauma centre', ' sona devi memorial hospital and trauma centre', ' sona devi memorial hospital and trauma centre', ' park hospital gurgaon', ' park hospital gurgaon', ' bones clinic - orthopaedics', ' meher clinic', ' gobind hospital', ' wembley estate club', ' gardian pharmacy', ' apollo pharmacy', ' kore tech park', ' spaze business park', ' spaze business park', ' india oil', ' srs cinemas', ' srs cinemas', ' icici bank', ' indusind bank', ' hdfc bank', ' hdfc bank', ' hdfc bank', ' central bank of india', ' union bank of india', ' state bank of india', ' icici bank', ' ""domino', ' starbucks', ' kamla international']"
1812,1.7,3,4,3,1,high,186.08,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,experion the heartsong,108,gurgaon,"['galleria 108 mall', ' dwarka expressway', ' the shikshiyan school', ' manipal hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' skyjumper trampoline park']"
1813,2.0,3,3,3,1,high,217.21,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,experion the heartsong,108,gurgaon,"['galleria 108 mall', ' dwarka expressway', ' the shikshiyan school', ' manipal hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' skyjumper trampoline park']"
1814,1.25,3,4,3,1,high,171.31,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,godrej summit,104,gurgaon,"['mg road metro station', 'mg road metro station', ' the esplanade mall', ' dwarka expy', ' blue bells model school', ' the northcap university', ' aryan hospital', ' indira gandhi intl airport', ' gurgaon railway station', ' gurgaon railway station', ' gurgaon railway station', ' altrade business centre', ' country inn & suites by radisson', ' hamoni golf camp', ' nehru stadium']"
1815,0.98,3,3,3,1,high,153.01,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,godrej summit,104,gurgaon,"['mg road metro station', 'mg road metro station', ' the esplanade mall', ' dwarka expy', ' blue bells model school', ' the northcap university', ' aryan hospital', ' indira gandhi intl airport', ' gurgaon railway station', ' gurgaon railway station', ' gurgaon railway station', ' altrade business centre', ' country inn & suites by radisson', ' hamoni golf camp', ' nehru stadium']"
1816,0.85,2,2,3,1,high,134.34,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,godrej summit,104,gurgaon,"['mg road metro station', 'mg road metro station', ' the esplanade mall', ' dwarka expy', ' blue bells model school', ' the northcap university', ' aryan hospital', ' indira gandhi intl airport', ' gurgaon railway station', ' gurgaon railway station', ' gurgaon railway station', ' altrade business centre', ' country inn & suites by radisson', ' hamoni golf camp', ' nehru stadium']"
1817,0.75,2,2,3,1,mid,117.89,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,godrej summit,104,gurgaon,"['mg road metro station', 'mg road metro station', ' the esplanade mall', ' dwarka expy', ' blue bells model school', ' the northcap university', ' aryan hospital', ' indira gandhi intl airport', ' gurgaon railway station', ' gurgaon railway station', ' gurgaon railway station', ' altrade business centre', ' country inn & suites by radisson', ' hamoni golf camp', ' nehru stadium']"
1818,0.3,2,2,1,0,mid,55.93,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,signature global solera,107,gurgaon,"['gurgaon dreamz mall', ' dwarka expressway', ' s central academy""']"
1819,1.7,3,3,3,0,high,162.12,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,ats kocoon,109,gurgaon,"[' euro international school', ' euro international school', ' gyaananda school', ' scr model school', ' radha krishan mandir', ' icici bank atm', ' icici bank atm', ' igia airport', ' canara bank new palam vihar', ' gurgaon gramin bank', ' daultabad stadium', ' bharat petroleum shree shyam filling', ' bharat petroleum shree shyam filling', ' bharat petroleum shree shyam filling', ' the club', ' international city']"
1820,1.4,3,3,3,1,high,162.58,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,ats tourmaline,109,gurgaon,"['dwarka sector 21 metro station', 'dwarka sector 21 metro station', ' neosquare mall', ' dwarka expressway', ' euro international school', ' euro international school', ' the northcap university', ' metro hospital', ' metro hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' hyatt place gurgaon udyog vihar', ' hamoni golf camp', ' nehru stadium']"
1821,1.7,3,3,2,1,high,160.44,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,ireo the corridors,67,gurgaon,"['huda metro station (gurugram)', 'huda metro station (gurugram)', 'huda metro station (gurugram)', ' paras trinity mall', ' lovely public school', ' kiit college of engineering', ' indira gandhi international airport', ' indira gandhi international airport', ' aipl business centre', ' lemon tree hotel', ' radisson hotel', ' de adventure park', ' teri golf course', ' pvr drive in theatre']"
1822,0.9,3,4,3,1,mid,181.16,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,shree vardhman flora,90,gurgaon,"['iris broadway mall', ' dwarka expressway', ' saraswati model school', ' sgt university', ' aarvy healthcare hospital', ' aarvy healthcare hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' garhi harsaru junction', ' orchid business park', ' holiday inn gurugram sector 90', ' flying wings badminton academy']"
1823,1.25,4,4,3,1,high,239.23,carpet,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,shree vardhman flora,90,gurgaon,"['iris broadway mall', ' dwarka expressway', ' saraswati model school', ' sgt university', ' aarvy healthcare hospital', ' aarvy healthcare hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' garhi harsaru junction', ' orchid business park', ' holiday inn gurugram sector 90', ' flying wings badminton academy']"
1824,0.65,2,2,3,1,mid,125.42,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,shree vardhman flora,90,gurgaon,"['iris broadway mall', ' dwarka expressway', ' saraswati model school', ' sgt university', ' aarvy healthcare hospital', ' aarvy healthcare hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' garhi harsaru junction', ' orchid business park', ' holiday inn gurugram sector 90', ' flying wings badminton academy']"
1825,0.9,3,4,3,1,mid,181.16,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,shree vardhman flora,90,gurgaon,"['iris broadway mall', ' dwarka expressway', ' saraswati model school', ' sgt university', ' aarvy healthcare hospital', ' aarvy healthcare hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' garhi harsaru junction', ' orchid business park', ' holiday inn gurugram sector 90', ' flying wings badminton academy']"
1826,0.65,2,2,3,1,mid,125.42,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,shree vardhman flora,90,gurgaon,"['iris broadway mall', ' dwarka expressway', ' saraswati model school', ' sgt university', ' aarvy healthcare hospital', ' aarvy healthcare hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' garhi harsaru junction', ' orchid business park', ' holiday inn gurugram sector 90', ' flying wings badminton academy']"
1827,0.66,2,2,3,1,mid,120.77,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,shree vardhman flora,90,gurgaon,"['iris broadway mall', ' dwarka expressway', ' saraswati model school', ' sgt university', ' aarvy healthcare hospital', ' aarvy healthcare hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' garhi harsaru junction', ' orchid business park', ' holiday inn gurugram sector 90', ' flying wings badminton academy']"
1828,0.91,3,3,3,1,high,240.43,super built up,old,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,hsiidc sidco aravali,1,manesar,"['pooja clinic', ' dr. sahil clinic', ' prakash hospital', ' shri rade clinic', ' yadav dental & eye care', ' yadav dental & eye care', ' yadav dental & eye care', ' dental hospital', ' dental hospital', ' dental hospital', ' petrol pump maitri motors', ' petrol pump maitri motors', ' petrol pump maitri motors', ' petrol pump', ' petrol pump', ' petrol pump indian oil', ' petrol pump indian oil', ' petrol pump indian oil', ' ""mcdonald', ' rao dhaba']"
