price_cr,bhk,bathroom,balcony,addl_room,floor_rise,area_sqm,area_type,age,society,locality,furnishDetails,nearby_loc
1.3,4,4,3,1,low,182.09,super built up,new,mapsko casa bella,sector 82 gurgaon,,"['vatika city centre mall', 'pataudi road', 'broadways international school', 'dpg institute of technology', 'aarvy healthcare', 'indira gandhi international airport', 'sultanpur national park', 'imt manesar', 'holiday inn gurugram', 'skyjumper trampoline park', 'huda mini golf course']"
0.25,2,2,2,0,low,65.03,carpet,new,pooja apartment,ashok vihar phase 3 extension,"['2 fan', '2 geyser', '6 light', '1 chimney', '2 wardrobe', 'no ac', 'no bed', 'no curtains', 'no dining table', 'no exhaust fan', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['palam vihar vyapar kendra', 'palam triangle', 'chintapurni mandir', 'sheetla mata mandir', 'ram mandir', 'state bank atm', 'jiya clinic', 'dr. mittal clinic', 's child care clinic"", ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ""mcdonald', 'pizza hut', 'moti mahal', 'pind baluchi', 'cafe coffee day', 'lieutenant atul kataria school', 'gurgaon railway station', 'gurgaon railway station', 'gurgaon railway station']"
0.95,3,2,3,0,low,112.48,built up,new,signature global park,sohna,[],"['sector 55-56 metro', 'global city centre', 'sohna road dhunela', 'gd goenka university', 'maharana pratap school', 'vardaan hospital and trauma centre', 'indira gandhi international airport', 'garhi harsaru railway station gurgaon']"
1.99,4,4,3,1,high,253.35,carpet,new,dlf new town heights 1,sector 90 gurgaon,"['8 fan', '1 exhaust fan', '6 geyser', '1 stove', '10 light', '1 modular kitchen', '1 chimney', 'no ac', 'no bed', 'no curtains', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['manish gallexie 91', 'nh-8 imt manesar', 'rhm public school', 'silver streak multi speciality hospital', 'airport', 'holiday inn gurugram']"
1.05,2,2,2,0,mid,128.67,carpet,new,paras dews,sector 106 gurgaon,"['3 fan', '2 geyser', '7 light', '3 ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['mg road metro station', 'neosquare shopping mall', 'dwarka expressway', 'glorious world school', 'dpg institute of technology', 'chirag hospital', 'indira gandhi international airport', 'gurgaon', 'country inn & suites by radisson', 'skyjumper trampoline park', 'hamoni golf camp']"
1.83,3,3,3,0,high,169.92,carpet,mid aged,godrej air,sector 85 gurgaon,"['1 exhaust fan', '1 modular kitchen', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no fan', 'no geyser', 'no light', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['sapphire 83 mall', 'sector 86 road', 'dwarka expy', 'euro international school', 'sushant university', 'shri balaji’s multispeciality hospital', 'indira gandhi intl airport', 'garhi harsaru junction']"
2.25,3,3,3,1,high,195.1,carpet,new,dlf the primus,sector 82a gurgaon,"['1 water purifier', '7 fan', '1 fridge', '1 exhaust fan', '4 geyser', '1 stove', '10 light', '5 ac', '1 modular kitchen', '1 chimney', '3 wardrobe', '1 washing machine', '1 microwave', 'no bed', 'no curtains', 'no dining table', 'no sofa', 'no tv']","['sapphire 83', 'nh 48', 'cambridge montessori', 'miracles apollo hospital', 'igi airport', 'garhi harsaru junction', 'hyatt regency']"
2.8,3,3,3,1,low,153.29,carpet,new,emaar mgf emerald floors premier,sector 65 gurgaon,"['1 fan', '1 exhaust fan', '1 geyser', '1 light', '1 ac', '1 modular kitchen', '1 chimney', '1 curtains', 'no bed', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['worldmark gurgaon', 'sohna road', 'golf course road', 'ck birla hospital', 'delhi international airport', 'lemon tree hotel']"
1.6,2,2,2,0,low,102.19,carpet,new,dlf regency park 1,dlf phase 4,"['1 bed', '1 wardrobe', '1 fan', '1 light', '1 ac', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['sector 42-43 metro station', 'dlf phase 1 metro station', 'huda city centre metro station', 'new life church', 'hanuman mandir', 'rbs atm', 'kotak mahindra bank atm', 'standard chartered atm', 'hdfc atm', 'hdfc bank atm', 'marwah clinic', 'paras hospital gurgaon', 'sitaram bhartia', 'gupta', 'max hospital', 'the dental lounge', 'dr. kutbuddin akbary', 'arihant hospital', 'dr. naval mendiratta', 'fortis memorial research institute fortis vivekanand hospital', 'guardian pharmacy', 'chikitsa', 'bharat petroleum', 'axis bank', 'icici bank', 'hdfc bank', 'the chicken boat', 'balaji vegetarian paradise', 'nowhere brewpub and cafe', 'blue tokai coffee roasters', 'starbucks', 'fat', 'dighent cafe', 'drunken monkey', 'belgian waffle', 'ccd', 'naveidyam', 'sagar ratna', 'shophouse by kylin', 'pwo house', 'cafe tonini', 's jr."", ', ', ', ', ', ', ']"
0.83,2,2,3,1,mid,142.14,carpet,new,supertech araville,sector 79 gurgaon,"['1 water purifier', '2 fan', '1 fridge', '1 exhaust fan', '1 geyser', '1 stove', '5 light', '1 modular kitchen', '1 chimney', '1 curtains', '2 bed', '2 wardrobe', '1 sofa', '1 washing machine', '1 microwave', 'no ac', 'no dining table', 'no tv']","['petrol pump indian oil', 'petrol pump', 'rao dhaba']"
0.83,3,2,2,0,low,104.05,carpet,new,signature global park,sohna,,"['sector 55-56 metro', 'global city centre', 'sohna road dhunela', 'gd goenka university', 'maharana pratap school', 'vardaan hospital and trauma centre', 'indira gandhi international airport', 'garhi harsaru railway station gurgaon']"
