price_cr,area_sqm,bhk,bathroom,balcony,addl_room,sector,landmark_count,has_hospital_or_clinic,has_police_stn,has_fire_stn,has_mall,has_market,has_park,has_bank_or_atm,has_institute,has_airport,has_rly_stn,has_metro_stn,has_expy,has_petrol_pump,has_hotel,has_temple_or_church,has_famous_chowk,has_club,has_stadium,has_restro_cafe,area_type,floor_rise,age,society,city
0.29,52.03,2,2,2,0,95,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,super built up,high,new,ramsons kshitij,gurgaon
0.65,127.28,3,2,3,0,92,14,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,super built up,mid,new,raheja sampada,gurgaon
0.5,49.38,2,2,2,0,33,7,1,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,carpet,mid,new,signature the serenas,sohna
0.32,53.42,2,2,1,0,99,15,1,0,0,0,0,0,2,3,0,1,0,1,1,0,1,0,1,1,0,super built up,low,new,pareena laxmi apartments,gurgaon
0.93,134.9,2,3,3,1,103,15,1,0,0,1,1,2,0,3,1,1,2,2,0,0,0,1,0,0,0,carpet,low,new,satya the hermitage,gurgaon
1.2,132.2,3,3,2,0,89,14,1,0,0,1,0,2,0,2,0,1,1,2,0,1,0,0,0,0,0,carpet,low,new,smart world gems,gurgaon
0.3,59.46,2,2,2,0,33,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,carpet,mid,new,gls arawali homes,sohna
0.56,76.37,2,2,3,0,33,8,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,carpet,low,new,signature global park,sohna
2.7,200.58,3,4,3,0,49,15,1,0,0,1,0,1,0,2,1,0,1,1,0,1,0,0,1,0,0,super built up,mid,old,bestech park view city 2,gurgaon
1.0,181.16,3,4,3,1,90,10,1,0,0,1,0,1,0,3,1,0,0,1,0,1,0,0,0,0,0,super built up,high,new,shree vardhman flora,gurgaon
1.45,120.77,3,2,2,0,30,49,4,0,0,0,2,0,14,3,0,0,0,0,1,0,0,0,0,0,6,built up,low,old,afnhb jalvayu vihar,gurgaon
1.25,132.2,3,3,0,0,89,9,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,built up,mid,under construction,m3m soulitude,gurgaon
0.46,540.1479999999999,2,2,1,0,86,8,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,carpet,high,under construction,pyramid elite,gurgaon
4.5,340.95,5,5,3,1,66,5,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,super built up,high,new,emaar mgf palm terraces,gurgaon
0.64,92.9,2,2,1,0,15,48,14,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,super built up,low,new,anamika enclave,gurgaon
0.28,69.03,2,2,1,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,built up,high,new,hcbs sports ville,sohna
3.87,209.03,3,4,3,1,61,8,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,super built up,high,under construction,puri the aravallis,gurgaon
1.38,202.25,3,3,1,0,109,10,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,carpet,mid,old,brisk lumbini terrace homes,gurgaon
0.43,60.39,2,2,1,0,4,48,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,carpet,low,new,huda ashok vihar phase 1,gurgaon
